Fund Name,Category,NAV,Risk Rating
HBL Islamic Savings Plan I,Shariah Compliant Money Market (Annualized Return),105.4083,
JS Islamic Money Market Fund (Formerly: JS Islamic Daily Dividend Fund),Shariah Compliant Money Market (Annualized Return),108.9654,AA(f)
Lakson Islamic Money Market Fund,Shariah Compliant Money Market (Annualized Return),106.2738,AA(f)
Lucky Islamic Money Market Fund,Shariah Compliant Money Market (Annualized Return),105.3129,AA+(f)
Mahaana Islamic Cash Fund,Shariah Compliant Money Market (Annualized Return),112.1943,AA+(f)
Meezan Cash Fund,Shariah Compliant Money Market (Annualized Return),53.8531,AA+(f)
Meezan Rozana Amdani Fund,Shariah Compliant Money Market (Annualized Return),50.0,AA+(f)
NBP Islamic Daily Dividend Fund,Shariah Compliant Money Market (Annualized Return),10.0,AA+(f)
NBP Islamic Money Market Fund,Shariah Compliant Money Market (Annualized Return),10.6813,AA(f)
NIT Islamic Money Market Fund,Shariah Compliant Money Market (Annualized Return),106.4223,AAA(f)
Pak Oman Daily Dividend Fund,Shariah Compliant Money Market (Annualized Return),10.0,AA(f)
Pak Qatar Asan Munafa Plan,Shariah Compliant Money Market (Annualized Return),117.4798,AA(f)
Pak Qatar Cash Plan,Shariah Compliant Money Market (Annualized Return),118.8813,AA(f)
Pak Qatar Daily Dividend Plan,Shariah Compliant Money Market (Annualized Return),100.0,AA(f)
786 Islamic Money Market Fund,Shariah Compliant Money Market (Annualized Return),105.1506,
ABL Islamic Income Fund,Shariah Compliant Income (Annualized Return),10.758,A+(f)
ABL Islamic Sovereign Plan I,Shariah Compliant Income (Annualized Return),10.4979,AA+(f)
AKD Islamic Income Fund,Shariah Compliant Income (Annualized Return),54.1764,AA-(f)
Al Ameen Islamic Income Fund,Shariah Compliant Income (Annualized Return),104.4718,AA(f)
Al Ameen Islamic Sovereign Fund,Shariah Compliant Income (Annualized Return),106.911,AA(f)
AL Habib Islamic Income Fund,Shariah Compliant Income (Annualized Return),106.8842,AA(f)
